address,speedy
0x0004072e0bcdc1947bcb4085d45b24e36a0e104c,882352.9412
0x00049b3e0a517402510d90dcc92cba64631a7d08,882352.9412
0x001268bd7a43b7861cd6568378cba10a68623951,882352.9412
0x002db5386b429b2082ad33cc17d18d5da9c7a457,882352.9412
0x002f1528e43706dccacf3c0042d1c236d23ee0bb,882352.9412
0x0035c6e2c265b28d57b690df65255f28232c6943,882352.9412
0x004032858f94b5d838150c97e6f3a19ade6f6dd1,882352.9412
0x00440111483a8193fa5a4da217ee21a4672be602,9375000
0x0048e6677605352505dff5e0220277e97bf11ed2,882352.9412
0x004948b879ab57d43d0ff409c1d8f86789c90420,882352.9412
0x00626a9aba6e04cba1fda5f017d83b071a132d75,882352.9412
0x0080a0dcd3a4d19709d7dbe13c443888107079e7,882352.9412
0x0081af77ddb16140389a00c9ba15b81824002ac6,882352.9412
0x008f4ba58f3df55b9ab593f3257cb019ae24deea,882352.9412
0x00959d476169a8600a8b5e569888dc36b610c4d2,882352.9412
0x009aab3b10d20bea017b033e874983087e65ece9,882352.9412
0x00a5680077db40bf2bdcb6c12b7868bf9d8d2cf8,882352.9412
0x00a577f12c721e4cd0262388c48184436314f02e,882352.9412
0x00b034af84562ee070fa80a0be01b8fd2474c3a6,882352.9412
0x00b36482a7ab349941abf57700db5317419f6924,882352.9412
0x00bb1bce350aae8a7e88cdadb3177e789aad1e40,882352.9412
0x00bdef65125c4a30d7916a05c5c8616e65810adc,125000000
0x00c245ec006b3b305c250abc256016963d34a72e,882352.9412
0x00c8feb6ffda133ac9b1ddadb7878db1842d395c,882352.9412
0x00ce275b68ffcf4804b1f3a642007a613e6452fe,882352.9412
0x00d8396bf9a1faf80b83b3c319c031bfdc4c7b10,882352.9412
0x00df913c775c6c4302534a10fa1fa5f1ae785a36,882352.9412
0x00e116614ed9894cb98716f4546798e71d4aeaa1,882352.9412
0x00f9c950783d31f1b7fe40b8570606d531c4a900,882352.9412
0x00fa08456a8a2cd6595065f02ae178c7b155624c,9375000
